INFO  - 2016-08-18 16:15:53.284; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=E:\0808\solr-4.10.2\example\solr\collection1\conf}
INFO  - 2016-08-18 16:15:53.287; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.296; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.298; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-08-18 16:15:53.299; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2016-08-18 16:15:53.301; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.303; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.304; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2016-08-18 16:15:53.306; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2016-08-18 16:15:53.307; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2016-08-18 16:15:53.308; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.310; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=E:\0808\solr-4.10.2\example\solr\collection1\conf
INFO  - 2016-08-18 16:15:53.311; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2016-08-18 16:15:53.312; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2016-08-18 16:15:53.315; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2016-08-18 16:15:53.316; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-08-18 16:15:53.331; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-08-18 16:15:53.355; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-08-18 16:15:53.364; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2016-08-18 16:15:53.372; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-08-18 16:15:53.386; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
